Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,risco
CAMPINAÇU,2026-06-22,0.0,4,6,0,1,0.0107566420492554,-13.868181231222769,-48.55699372818981,7.882352941176471,0.6215731023602838,MÉDIO
CABECEIRAS,2026-06-22,0.0,5,6,0,1,0.0021161817760273,-15.753711869204832,-46.99550025639795,4.791666666666667,0.6207104895872344,MÉDIO
APARECIDA DE GOIÂNIA,2026-06-22,0.0,6,6,0,1,0.0013357197602349,-16.80602601231046,-49.24588428522596,1.7731958762886595,0.6198642621482694,MÉDIO
MARA ROSA,2026-06-22,0.0,5,6,0,1,0.0037022105460575,-13.999770100704,-49.390664925569126,2.625,0.615856985708882,MÉDIO
SENADOR CANEDO,2026-06-22,0.0,8,6,0,1,0.0015070226813928,-16.72174558705297,-49.12425814633367,2.8767123287671232,0.6069870625752742,MÉDIO
SÃO LUIZ DO NORTE,2026-06-22,0.0,6,6,0,1,0.0024484503731007,-14.905980936295272,-49.283790673643686,3.3375,0.5992756506403555,MÉDIO
MONTIVIDIU DO NORTE,2026-06-22,0.0,5,6,0,1,0.0055422401991839,-13.157797966650936,-48.70583895092373,7.462962962962963,0.598433908286044,MÉDIO
GOIANÉSIA,2026-06-22,0.0,5,6,0,1,0.0033721570729647,-15.235935983775684,-49.19339896780853,2.430379746835443,0.597924794442816,MÉDIO
IACIARA,2026-06-22,0.0,5,6,0,1,0.0029911557483205,-14.108153980696324,-46.79592329445353,7.594202898550725,0.5957979509436201,MÉDIO
NOVA GLÓRIA,2026-06-22,0.0,6,6,0,1,0.0023332639261152,-15.080904022970325,-49.5127373729181,2.68,0.5851430884667985,MÉDIO
BONÓPOLIS,2026-06-22,0.0,4,6,0,1,0.0027253408706618,-13.56457655433514,-49.78488929257367,3.725,0.5850658792205901,MÉDIO
ITAPACI,2026-06-22,0.0,5,6,0,1,0.0027290327439626,-14.955491253186096,-49.62493326485581,2.6666666666666665,0.5836203250957016,MÉDIO
COLINAS DO SUL,2026-06-22,0.0,5,6,0,1,0.0162671321380524,-13.94148455899416,-48.086108285372966,5.053571428571429,0.5787283284940176,MÉDIO
MUNDO NOVO,2026-06-22,0.0,6,6,0,1,0.0027504456091074,-13.777534650060309,-50.25180240334917,2.9692307692307693,0.5712150758008356,MÉDIO
ITAPURANGA,2026-06-22,0.0,5,6,0,1,0.0018466750250678,-15.577224810549591,-49.933817512866845,2.2222222222222223,0.5675050243147227,MÉDIO
